Tiempos de uso;Tipos(TIC);Estado Civil
63;movil;en una relacion
14;movil;en una relacion
42;movil;en una relacion
21;movil;soltero/a
28;movil;soltero/a
14;movil;en una relacion
28;movil;soltero/a
35;movil;en una relacion
49;movil;soltero/a
28;movil;soltero/a
35;movil;en una relacion
21;movil;soltero/a
21;movil;soltero/a
14;movil;soltero/a
7;movil;soltero/a
14;movil;en una relacion
35;movil;casado/a
7;movil;soltero/a
35;movil;en una relacion
28;movil;soltero/a
56;movil;soltero/a
84;movil;en una relacion
84;movil;en una relacion
49;movil;soltero/a
56;movil;en una relacion
7;movil;soltero/a
28;movil;soltero/a
14;movil;soltero/a
7;movil;en una relacion
21;movil;soltero/a
35;movil;en una relacion
56;movil;en una relacion
28;movil;casado/a
42;movil;soltero/a
14;movil;casado/a
35;movil;soltero/a
14;movil;soltero/a
7;movil;soltero/a
21;movil;en una relacion
21;movil;en una relacion
42;movil;casado/a
7;movil;soltero/a
63;ordenador;en una relacion
14;ordenador;en una relacion
42;ordenador;en una relacion
21;ordenador;soltero/a
28;ordenador;soltero/a
14;ordenador;en una relacion
56;ordenador;soltero/a
7;ordenador;en una relacion
28;ordenador;soltero/a
49;ordenador;soltero/a
0;ordenador;en una relacion
56;ordenador;soltero/a
56;ordenador;soltero/a
7;ordenador;soltero/a
28;ordenador;soltero/a
7;ordenador;en una relacion
0;ordenador;casado/a
7;ordenador;soltero/a
63;ordenador;en una relacion
42;ordenador;soltero/a
14;ordenador;soltero/a
56;ordenador;en una relacion
56;ordenador;en una relacion
56;ordenador;soltero/a
0;ordenador;en una relacion
49;ordenador;soltero/a
56;ordenador;soltero/a
7;ordenador;soltero/a
28;ordenador;en una relacion
49;ordenador;soltero/a
56;ordenador;en una relacion
56;ordenador;en una relacion
21;ordenador;casado/a
56;ordenador;soltero/a
0;ordenador;casado/a
0;ordenador;soltero/a
56;ordenador;soltero/a
56;ordenador;soltero/a
21;ordenador;en una relacion
21;ordenador;en una relacion
14;ordenador;casado/a
14;ordenador;soltero/a
21;TV;en una relacion
0;TV;en una relacion
14;TV;en una relacion
0;TV;soltero/a
0;TV;soltero/a
0;TV;en una relacion
0;TV;soltero/a
0;TV;en una relacion
0;TV;soltero/a
0;TV;soltero/a
0;TV;en una relacion
0;TV;soltero/a
0;TV;soltero/a
0;TV;soltero/a
7;TV;soltero/a
0;TV;en una relacion
14;TV;casado/a
14;TV;soltero/a
0;TV;en una relacion
28;TV;soltero/a
0;TV;soltero/a
0;TV;en una relacion
0;TV;en una relacion
35;TV;soltero/a
35;TV;en una relacion
14;TV;soltero/a
14;TV;soltero/a
21;TV;soltero/a
7;TV;en una relacion
0;TV;soltero/a
0;TV;en una relacion
21;TV;en una relacion
21;TV;casado/a
0;TV;soltero/a
0;TV;casado/a
7;TV;soltero/a
7;TV;soltero/a
0;TV;soltero/a
7;TV;en una relacion
7;TV;en una relacion
7;TV;casado/a
14;TV;soltero/a
21;videojuegos;en una relacion
7;videojuegos;en una relacion
7;videojuegos;en una relacion
28;videojuegos;soltero/a
56;videojuegos;soltero/a
14;videojuegos;en una relacion
42;videojuegos;soltero/a
7;videojuegos;en una relacion
0;videojuegos;soltero/a
28;videojuegos;soltero/a
0;videojuegos;en una relacion
14;videojuegos;soltero/a
14;videojuegos;soltero/a
14;videojuegos;soltero/a
0;videojuegos;soltero/a
14;videojuegos;en una relacion
0;videojuegos;casado/a
21;videojuegos;soltero/a
7;videojuegos;en una relacion
0;videojuegos;soltero/a
0;videojuegos;soltero/a
0;videojuegos;en una relacion
0;videojuegos;en una relacion
0;videojuegos;soltero/a
0;videojuegos;en una relacion
0;videojuegos;soltero/a
0;videojuegos;soltero/a
0;videojuegos;soltero/a
0;videojuegos;en una relacion
0;videojuegos;soltero/a
0;videojuegos;en una relacion
28;videojuegos;en una relacion
0;videojuegos;casado/a
0;videojuegos;soltero/a
0;videojuegos;casado/a
0;videojuegos;soltero/a
0;videojuegos;soltero/a
28;videojuegos;soltero/a
7;videojuegos;en una relacion
7;videojuegos;en una relacion
1;videojuegos;casado/a
0;videojuegos;soltero/a
